entry_ts,exit_ts,entry_close,exit_close,drift,prev_drift,prev2_drift,sign,prev_sign,year
2025-04-07 19:00:00-04:00,2025-04-08 08:00:00-04:00,17767.5,18023.5,256.0,395.5,-509.25,1.0,1.0,2025
2025-04-08 19:00:00-04:00,2025-04-09 08:00:00-04:00,16932.75,16972.25,39.5,256.0,395.5,1.0,1.0,2025
2025-04-09 19:00:00-04:00,2025-04-10 08:00:00-04:00,19342.25,18866.75,-475.5,39.5,256.0,-1.0,1.0,2025
2025-04-10 19:00:00-04:00,2025-04-11 08:00:00-04:00,18453.75,18551.5,97.75,-475.5,39.5,1.0,-1.0,2025
2025-04-13 19:00:00-04:00,2025-04-14 08:00:00-04:00,19037.0,19124.0,87.0,97.75,-475.5,1.0,1.0,2025
2025-04-14 19:00:00-04:00,2025-04-15 08:00:00-04:00,18865.5,18896.0,30.5,87.0,97.75,1.0,1.0,2025
2025-04-15 19:00:00-04:00,2025-04-16 08:00:00-04:00,18734.0,18688.5,-45.5,30.5,87.0,-1.0,1.0,2025
2025-04-16 19:00:00-04:00,2025-04-17 08:00:00-04:00,18410.75,18548.0,137.25,-45.5,30.5,1.0,-1.0,2025
2025-04-20 19:00:00-04:00,2025-04-21 08:00:00-04:00,18304.25,18115.0,-189.25,137.25,-45.5,-1.0,1.0,2025
2025-04-21 19:00:00-04:00,2025-04-22 08:00:00-04:00,17909.5,18074.25,164.75,-189.25,137.25,1.0,-1.0,2025
2025-04-22 19:00:00-04:00,2025-04-23 08:00:00-04:00,18760.0,18910.25,150.25,164.75,-189.25,1.0,1.0,2025
2025-04-23 19:00:00-04:00,2025-04-24 08:00:00-04:00,18827.25,18823.0,-4.25,150.25,164.75,-1.0,1.0,2025
2025-04-24 19:00:00-04:00,2025-04-25 08:00:00-04:00,19401.0,19268.75,-132.25,-4.25,150.25,-1.0,-1.0,2025
2025-04-27 19:00:00-04:00,2025-04-28 08:00:00-04:00,19448.75,19500.25,51.5,-132.25,-4.25,1.0,-1.0,2025
2025-04-28 19:00:00-04:00,2025-04-29 08:00:00-04:00,19497.75,19490.25,-7.5,51.5,-132.25,-1.0,1.0,2025
2025-04-29 19:00:00-04:00,2025-04-30 08:00:00-04:00,19556.5,19468.0,-88.5,-7.5,51.5,-1.0,-1.0,2025
2025-04-30 19:00:00-04:00,2025-05-01 08:00:00-04:00,19886.5,20025.5,139.0,-88.5,-7.5,1.0,-1.0,2025
2025-05-01 19:00:00-04:00,2025-05-02 08:00:00-04:00,19809.0,19931.0,122.0,139.0,-88.5,1.0,1.0,2025
2025-05-04 19:00:00-04:00,2025-05-05 08:00:00-04:00,20104.5,20000.25,-104.25,122.0,139.0,-1.0,1.0,2025
2025-05-05 19:00:00-04:00,2025-05-06 08:00:00-04:00,20030.25,19839.5,-190.75,-104.25,122.0,-1.0,-1.0,2025
2025-05-06 19:00:00-04:00,2025-05-07 08:00:00-04:00,20046.75,19941.75,-105.0,-190.75,-104.25,-1.0,-1.0,2025
2025-05-07 19:00:00-04:00,2025-05-08 08:00:00-04:00,19959.5,20207.75,248.25,-105.0,-190.75,1.0,-1.0,2025
2025-05-08 19:00:00-04:00,2025-05-09 08:00:00-04:00,20167.75,20212.75,45.0,248.25,-105.0,1.0,1.0,2025
2025-05-11 19:00:00-04:00,2025-05-12 08:00:00-04:00,20458.5,20937.5,479.0,45.0,248.25,1.0,1.0,2025
2025-05-12 19:00:00-04:00,2025-05-13 08:00:00-04:00,20948.25,20968.25,20.0,479.0,45.0,1.0,1.0,2025
2025-05-13 19:00:00-04:00,2025-05-14 08:00:00-04:00,21268.0,21351.75,83.75,20.0,479.0,1.0,1.0,2025
2025-05-14 19:00:00-04:00,2025-05-15 08:00:00-04:00,21372.25,21262.25,-110.0,83.75,20.0,-1.0,1.0,2025
2025-05-15 19:00:00-04:00,2025-05-16 08:00:00-04:00,21387.25,21495.5,108.25,-110.0,83.75,1.0,-1.0,2025
2025-05-18 19:00:00-04:00,2025-05-19 08:00:00-04:00,21361.5,21183.25,-178.25,108.25,-110.0,-1.0,1.0,2025
2025-05-19 19:00:00-04:00,2025-05-20 08:00:00-04:00,21522.75,21469.75,-53.0,-178.25,108.25,-1.0,-1.0,2025
