stop_mult,tp_mult,contract_type,num_contracts,challenge_pass_rate,challenge_avg_days,challenge_blowup_rate,funded_avg_payouts,funded_days_per_payout,funded_blowup_rate,funded_net_lifetime
0.5,2.5,MNQ,5,75.58,20.25244773749669,24.42,7.0772,25.67752783586729,99.9,19231.600000000002
0.5,2.5,MNQ,6,68.34,15.400936494000586,31.66,4.4424,20.967359985593372,100.0,11327.2
0.5,2.5,MNQ,7,64.7,12.106646058732611,35.3,3.2344,17.34528815236211,100.0,7703.200000000001
0.5,2.5,MNQ,8,60.8,10.39375,39.2,2.527,14.519271863870202,100.0,5581.0
0.5,2.5,MNQ,9,56.86,8.583186774533942,43.14,1.997,12.403505257886831,100.0,3991.0
0.6,2.9,MNQ,1,99.94,124.17570542325396,0.06,10.8416,131.21430416174735,0.27999999999999997,30524.8
0.6,2.9,MNQ,2,94.17999999999999,60.77872159694203,5.82,18.4782,65.65299650398849,28.24,53434.600000000006
0.6,2.9,MNQ,3,83.7,36.629390681003585,16.3,12.9276,43.296358179399114,88.03999999999999,36782.8
0.6,2.9,MNQ,4,72.98,23.95423403672239,27.02,6.5808,31.402443471918307,99.8,17742.4
0.6,2.9,MNQ,5,67.44,17.553084223013048,32.56,3.8464,23.96511023294509,100.0,9539.2
0.6,2.9,MNQ,6,62.03999999999999,13.18214055448098,37.96,2.74,19.151605839416057,100.0,6220.0
0.6,2.9,MNQ,7,57.099999999999994,10.286865148861645,42.9,2.084,15.610940499040307,100.0,4252.0
0.6,2.9,MNQ,8,53.239999999999995,8.554845980465815,46.760000000000005,1.6934,12.880713357741822,100.0,3080.2
0.6,2.9,MNQ,9,52.26,7.3727516264829696,47.74,1.4434,11.063045586808924,100.0,2330.2
0.5,2.4,MNQ,1,100.0,121.079,0.0,11.3938,125.67327844968317,0.0,32181.4
0.5,2.4,MNQ,2,98.52,61.260454730004064,1.48,22.2354,63.31296041447422,6.32,64706.2
0.5,2.4,MNQ,3,92.56,39.59507346585998,7.4399999999999995,24.1444,42.59913685989298,50.94,70433.2
0.5,2.4,MNQ,4,85.34,27.302085774548864,14.66,15.576,31.85567539804828,92.30000000000001,44728.0
0.5,2.4,MNQ,5,78.10000000000001,20.048399487836107,21.9,8.8174,25.324018418127793,99.83999999999999,24452.199999999997
0.5,2.4,MNQ,6,71.36,15.616872197309418,28.64,5.2926,20.317348751086424,99.98,13877.800000000001
0.5,2.4,MNQ,7,66.58,12.397116251126464,33.42,3.7858,16.957789634951663,100.0,9357.4
0.5,2.4,MNQ,8,63.160000000000004,10.037048765041165,36.84,2.9476,14.626068666033383,100.0,6842.799999999999
0.5,2.4,MNQ,9,60.980000000000004,8.645457527058053,39.019999999999996,2.279,12.285476086002634,100.0,4837.0
0.6,2.8,MNQ,1,99.88,135.64557468962755,0.12,10.0028,141.48888311272844,0.36,28008.4
0.6,2.8,MNQ,2,94.36,64.15345485375158,5.64,17.0584,69.82996060591849,30.759999999999998,49175.2
0.6,2.8,MNQ,3,82.0,37.57829268292683,18.0,12.3122,45.87267913126817,87.8,34936.6
0.6,2.8,MNQ,4,73.36,25.140676117775353,26.640000000000004,6.098,33.26989176779272,99.76,16294.0
0.6,2.8,MNQ,5,66.3,17.681749622926095,33.7,3.633,25.346050096339113,100.0,8899.0
0.6,2.8,MNQ,6,60.4,13.439403973509934,39.6,2.612,19.66730474732006,100.0,5836.0
